id,texto,servico,sentimento
1,"Em Nampula, estamos satisfeitos com a melhoria no abastecimento. A situação afecta muita gente.",Água,Positivo
2,"Na minha zona, a falta de energia estragou alimentos em várias casas. É importante acompanhar.",Electricidade,Negativo
3,"No bairro, a viagem foi desconfortável e demorada. É importante acompanhar.",Transportes,Negativo
4,"Sinceramente, a equipa técnica resolveu a fuga de água rapidamente. Esta é a realidade no terreno.",Água,Positivo
5,"Segundo alguns moradores, a melhoria dos transportes ajudou quem vai trabalhar cedo.",Transportes,Positivo
6,"Em Nampula, o FIPAG informou que haverá manutenção na rede de água. Isto precisa de atenção.",Água,Neutro
7,"Em Maputo, a equipa da EDM resolveu a avaria com muita rapidez. A situação afecta muita gente.",Electricidade,Positivo
8,"Hoje, a conduta rebentou e ninguém veio reparar.",Água,Negativo
9,"Na Beira, o FIPAG respondeu rapidamente à reclamação dos moradores. Isto precisa de atenção.",Água,Positivo
10,"Na Beira, os horários dos autocarros foram actualizados. O serviço deve ser monitorado.",Transportes,Neutro
11,"Em Nampula, a equipa da EDM resolveu a avaria com muita rapidez. A população comentou bastante sobre isso.",Electricidade,Positivo
12,"Hoje, a reparação da conduta foi feita no mesmo dia. A situação afecta muita gente.",Água,Positivo
13,"Em Maputo, o abastecimento de água foi regular durante toda a semana. O serviço deve ser monitorado.",Água,Positivo
14,o terminal estava sujo e sem orientação. É importante acompanhar.,Transportes,Negativo
15,"Na Beira, os horários dos autocarros foram actualizados.",Transportes,Neutro
16,"Na minha zona, a energia foi interrompida para trabalhos na rede. Esta é a realidade no terreno.",Electricidade,Neutro
17,a EDM avisou com antecedência sobre a manutenção programada. Isto precisa de atenção.,Electricidade,Positivo
18,"Em Maputo, a leitura do contador será feita nos próximos dias. É importante acompanhar.",Electricidade,Neutro
19,"Sinceramente, hoje os autocarros chegaram no horário. É importante acompanhar.",Transportes,Positivo
20,"Em Nampula, hoje tivemos água limpa e sem interrupções. É importante acompanhar.",Água,Positivo
21,"Na minha zona, a equipa da EDM resolveu a avaria com muita rapidez. O serviço deve ser monitorado.",Electricidade,Positivo
22,"Hoje, os chapas cobram acima do preço normal. O serviço deve ser monitorado.",Transportes,Negativo
